,movieid,moviename,genres
3282,11359,The Indian in the Cupboard,12
3283,11359,The Indian in the Cupboard,10751
3284,11359,The Indian in the Cupboard,14
3285,82525,Savages,80
3286,82525,Savages,18
3287,82525,Savages,53
3288,9759,Cellular,28
3289,9759,Cellular,12
3290,9759,Cellular,80
3291,9759,Cellular,53
3292,9486,Johnny English,12
3293,9486,Johnny English,28
3294,9486,Johnny English,35
3295,9906,The Ant Bully,14
3296,9906,The Ant Bully,12
3297,9906,The Ant Bully,16
3298,9906,The Ant Bully,35
3299,9906,The Ant Bully,10751
3300,841,Dune,28
3301,841,Dune,878
3302,841,Dune,12
3303,4688,Across the Universe,12
3304,4688,Across the Universe,18
3305,4688,Across the Universe,10402
3306,4688,Across the Universe,10749
3307,4148,Revolutionary Road,18
3308,4148,Revolutionary Road,10749
3309,2207,16 Blocks,28
3310,2207,16 Blocks,12
3311,2207,16 Blocks,80
3312,2207,16 Blocks,53
3313,9381,Babylon A.D.,28
3314,9381,Babylon A.D.,12
3315,9381,Babylon A.D.,878
3316,9381,Babylon A.D.,53
3317,9625,The Glimmer Man,28
3318,9625,The Glimmer Man,12
3319,9625,The Glimmer Man,80
3320,9625,The Glimmer Man,18
3321,9625,The Glimmer Man,53
3322,9304,Multiplicity,35
3323,9304,Multiplicity,14
3324,9304,Multiplicity,878
3325,20856,Aliens in the Attic,12
3326,20856,Aliens in the Attic,35
3327,20856,Aliens in the Attic,10751
3328,20856,Aliens in the Attic,14
3329,20856,Aliens in the Attic,878
3330,5955,The Pledge,80
3331,5955,The Pledge,18
3332,5955,The Pledge,9648
3333,5955,The Pledge,53
3334,9899,The Producers,35
3335,9899,The Producers,10402
3336,9826,The Phantom,12
3337,9826,The Phantom,28
3338,21355,All the Pretty Horses,18
3339,21355,All the Pretty Horses,10749
3340,21355,All the Pretty Horses,37
3341,10858,Nixon,36
3342,10858,Nixon,18
3343,11439,The Ghost Writer,53
3344,11439,The Ghost Writer,9648
3345,9457,Deep Rising,12
3346,9457,Deep Rising,28
3347,9457,Deep Rising,27
3348,9457,Deep Rising,878
3349,12412,Miracle at St. Anna,18
3350,12412,Miracle at St. Anna,10752
3351,1494,Curse of the Golden Flower,28
3352,1494,Curse of the Golden Flower,18
3353,1494,Curse of the Golden Flower,14
3354,13184,Bangkok Dangerous,28
3355,13184,Bangkok Dangerous,80
3356,13184,Bangkok Dangerous,53
3357,2185,Big Trouble,28
3358,2185,Big Trouble,35
3359,2185,Big Trouble,53
3360,6639,Love in the Time of Cholera,18
3361,6639,Love in the Time of Cholera,10749
3362,38153,Shadow Conspiracy,28
3363,38153,Shadow Conspiracy,53
3364,58233,Johnny English Reborn,80
3365,58233,Johnny English Reborn,12
3366,58233,Johnny English Reborn,28
3367,58233,Johnny English Reborn,35
3368,58233,Johnny English Reborn,53
3369,116977,Foodfight!,16
3370,116977,Foodfight!,28
3371,116977,Foodfight!,35
3372,116977,Foodfight!,10751
3373,68734,Argo,18
3374,68734,Argo,53
3375,5503,The Fugitive,12
3376,5503,The Fugitive,28
3377,5503,The Fugitive,53
3378,5503,The Fugitive,80
3379,5503,The Fugitive,9648
3380,27573,The Bounty Hunter,28
3381,819,Sleepers,80
3382,819,Sleepers,18
3383,819,Sleepers,53
3384,1369,Rambo: First Blood Part II,28
3385,1369,Rambo: First Blood Part II,12
3386,1369,Rambo: First Blood Part II,53
3387,1369,Rambo: First Blood Part II,10752
3388,9623,The Juror,18
3389,9623,The Juror,53
3390,10895,Pinocchio,16
3391,10895,Pinocchio,10751
3392,10935,Heaven's Gate,28
3393,10935,Heaven's Gate,18
3394,10935,Heaven's Gate,36
3395,10935,Heaven's Gate,37
3396,834,Underworld: Evolution,14
3397,834,Underworld: Evolution,28
3398,834,Underworld: Evolution,878
3399,834,Underworld: Evolution,53
3400,228066,Victor Frankenstein,18
3401,228066,Victor Frankenstein,878
3402,228066,Victor Frankenstein,53
3403,711,Finding Forrester,18
3404,10468,28 Days,35
3405,10468,28 Days,18
3406,10027,Unleashed,28
3407,10027,Unleashed,80
3408,11812,The Sweetest Thing,10749
3409,11812,The Sweetest Thing,35
3410,37233,The Firm,18
3411,37233,The Firm,9648
3412,37233,The Firm,53
3413,37950,Charlie St. Cloud,18
3414,27582,The Mechanic,28
3415,27582,The Mechanic,53
3416,27582,The Mechanic,80
3417,64688,21 Jump Street,28
3418,64688,21 Jump Street,35
3419,64688,21 Jump Street,80
3420,509,Notting Hill,10749
3421,509,Notting Hill,35
3422,509,Notting Hill,18
3423,7443,Chicken Run,16
3424,7443,Chicken Run,35
3425,7443,Chicken Run,10751
3426,5966,Along Came Polly,35
3427,5966,Along Came Polly,10749
3428,11066,Boomerang,35
3429,11066,Boomerang,10749
3430,136795,The Heat,28
3431,136795,The Heat,35
3432,136795,The Heat,80
3433,8095,Cleopatra,18
3434,8095,Cleopatra,36
3435,8095,Cleopatra,10749
3436,87826,Here Comes the Boom,35
3437,11560,High Crimes,18
3438,11560,High Crimes,9648
3439,11560,High Crimes,53
3440,11560,High Crimes,80
3441,25189,The Mirror Has Two Faces,35
3442,25189,The Mirror Has Two Faces,18
3443,25189,The Mirror Has Two Faces,10749
3444,2637,The Mothman Prophecies,18
3445,2637,The Mothman Prophecies,27
3446,2637,The Mothman Prophecies,9648
3447,18480,Brüno,35
3448,709,Licence to Kill,12
3449,709,Licence to Kill,28
3450,709,Licence to Kill,53
3451,49730,Red Riding Hood,14
3452,49730,Red Riding Hood,53
3453,49730,Red Riding Hood,27
3454,2749,15 Minutes,28
3455,2749,15 Minutes,80
3456,2749,15 Minutes,53
3457,9607,Super Mario Bros.,12
3458,9607,Super Mario Bros.,35
3459,9607,Super Mario Bros.,10751
3460,9607,Super Mario Bros.,14
3461,1830,Lord of War,80
3462,1830,Lord of War,18
3463,1830,Lord of War,53
3464,79,Hero,18
3465,79,Hero,12
3466,79,Hero,28
3467,79,Hero,36
3468,54054,One for the Money,28
3469,54054,One for the Money,35
3470,54054,One for the Money,80
3471,228967,The Interview,28
3472,228967,The Interview,35
3473,46528,The Warrior's Way,12
3474,46528,The Warrior's Way,14
3475,46528,The Warrior's Way,28
3476,46528,The Warrior's Way,37
3477,46528,The Warrior's Way,53
3478,27936,Micmacs,28
3479,27936,Micmacs,35
3480,27936,Micmacs,80
3481,65,8 Mile,18
3482,280391,Why I Did (Not) Eat My Father,12
3483,280391,Why I Did (Not) Eat My Father,35
3484,280391,Why I Did (Not) Eat My Father,16
3485,9476,A Knight's Tale,12
3486,9476,A Knight's Tale,18
3487,9476,A Knight's Tale,10749
3488,9476,A Knight's Tale,28
3489,10610,The Medallion,53
3490,10610,The Medallion,14
3491,10610,The Medallion,28
3492,10610,The Medallion,35
3493,745,The Sixth Sense,9648
3494,745,The Sixth Sense,53
3495,745,The Sixth Sense,18
3496,49527,Man on a Ledge,28
3497,49527,Man on a Ledge,53
3498,49527,Man on a Ledge,80
3499,73937,The Big Year,35
3500,1885,The Karate Kid,18
3501,168672,American Hustle,18
3502,168672,American Hustle,80
3503,18240,The Proposal,35
3504,18240,The Proposal,10749
3505,18240,The Proposal,18
3506,10398,Double Jeopardy,80
3507,10398,Double Jeopardy,18
3508,10398,Double Jeopardy,9648
3509,10398,Double Jeopardy,53
3510,165,Back to the Future Part II,12
3511,165,Back to the Future Part II,35
3512,165,Back to the Future Part II,10751
3513,165,Back to the Future Part II,878
3514,240832,Lucy,28
3515,240832,Lucy,878
3516,216015,Fifty Shades of Grey,18
3517,216015,Fifty Shades of Grey,10749
3518,216015,Fifty Shades of Grey,53
3519,12279,Spy Kids 3-D: Game Over,28
3520,12279,Spy Kids 3-D: Game Over,12
3521,12279,Spy Kids 3-D: Game Over,35
3522,12279,Spy Kids 3-D: Game Over,10751
3523,12279,Spy Kids 3-D: Game Over,878
3524,1645,A Time to Kill,80
3525,1645,A Time to Kill,18
