,movieid,moviename,genres
2433,11374,Edtv,35
2434,2309,Inkheart,12
2435,2309,Inkheart,10751
2436,2309,Inkheart,14
2437,8285,The Spirit,28
2438,8285,The Spirit,35
2439,8285,The Spirit,53
2440,8285,The Spirit,80
2441,8285,The Spirit,878
2442,210860,Mortdecai,35
2443,210860,Mortdecai,12
2444,2312,In the Name of the King: A Dungeon Siege Tale,12
2445,2312,In the Name of the King: A Dungeon Siege Tale,14
2446,2312,In the Name of the King: A Dungeon Siege Tale,28
2447,2312,In the Name of the King: A Dungeon Siege Tale,18
2448,9839,Beyond Borders,18
2449,9839,Beyond Borders,10749
2450,9839,Beyond Borders,12
2451,9839,Beyond Borders,10752
2452,381902,The Monkey King 2,28
2453,381902,The Monkey King 2,12
2454,381902,The Monkey King 2,14
2455,13922,The Great Raid,28
2456,13922,The Great Raid,36
2457,13922,The Great Raid,10752
2458,293660,Deadpool,28
2459,293660,Deadpool,12
2460,293660,Deadpool,35
2461,9713,Holy Man,18
2462,9713,Holy Man,35
2463,190859,American Sniper,10752
2464,190859,American Sniper,28
2465,257445,Goosebumps,12
2466,257445,Goosebumps,27
2467,257445,Goosebumps,35
2468,9007,Just Like Heaven,35
2469,9007,Just Like Heaven,14
2470,9007,Just Like Heaven,10749
2471,889,The Flintstones in Viva Rock Vegas,878
2472,889,The Flintstones in Viva Rock Vegas,35
2473,889,The Flintstones in Viva Rock Vegas,10751
2474,889,The Flintstones in Viva Rock Vegas,10749
2475,1370,Rambo III,28
2476,1370,Rambo III,12
2477,1370,Rambo III,53
2478,1370,Rambo III,10752
2479,4942,Leatherheads,35
2480,4942,Leatherheads,10749
2481,4942,Leatherheads,18
2482,347969,The Ridiculous 6,35
