,g_name,g_id,votecount
9833,Western,37,1
9834,Drama,18,93
9835,Comedy,35,93
9836,Romance,10749,93
9837,Drama,18,6
9838,Comedy,35,6
9839,Drama,18,60
9840,Drama,18,18
9841,Comedy,35,602
9842,Crime,80,602
9843,Romance,10749,408
9844,Adventure,12,408
9845,Drama,18,408
9846,Comedy,35,632
9847,Drama,18,632
9848,Romance,10749,632
9849,Comedy,35,322
9850,Adventure,12,89
9851,Drama,18,89
9852,Crime,80,629
9853,Drama,18,629
9854,Crime,80,198
9855,Drama,18,198
9856,Romance,10749,198
9857,Thriller,53,198
9858,Crime,80,2443
9859,Drama,18,2443
9860,Music,10402,19
9861,Romance,10749,19
9862,Drama,18,6
9863,Foreign,10769,6
9864,Romance,10749,6
9865,Drama,18,71
9866,Comedy,35,121
9867,Fantasy,14,3452
9868,Drama,18,3452
9869,Mystery,9648,3452
9870,Action,28,18
9871,Comedy,35,18
9872,Foreign,10769,18
9873,Drama,18,25
9874,Foreign,10769,25
9875,History,36,25
9876,Comedy,35,132
9877,Crime,80,132
9878,Drama,18,132
9879,Comedy,35,30
9880,Drama,18,30
9881,Drama,18,356
9882,Thriller,53,356
9883,Drama,18,13
9884,Comedy,35,157
9885,Drama,18,157
9886,Action,28,46
9887,Crime,80,46
9888,Thriller,53,46
9889,Adventure,12,73
9890,Action,28,73
9891,Western,37,73
9892,Crime,80,139
9893,Drama,18,139
9894,Drama,18,251
9895,Horror,27,251
9896,Mystery,9648,251
9897,Thriller,53,251
9898,Comedy,35,2
9899,Drama,18,2
9900,Thriller,53,2
9901,Drama,18,2919
9902,Comedy,35,35
9903,Horror,27,35
9904,Comedy,35,78
9905,Thriller,53,57
9906,Action,28,57
9907,Drama,18,57
9908,History,36,57
9909,Drama,18,68
9910,Family,10751,68
9911,Adventure,12,71
9912,Action,28,71
9913,Action,28,109
9914,Drama,18,109
9915,Crime,80,109
9916,Crime,80,217
9917,Drama,18,217
9918,Thriller,53,217
9919,Drama,18,63
9920,Thriller,53,63
9921,Crime,80,63
9922,Drama,18,111
9923,Family,10751,111
9924,Drama,18,19
