,g_name,g_id,votecount
10760,Comedy,35,140
10761,Drama,18,291
10762,Animation,16,291
10763,War,10752,291
10764,Documentary,99,23
10765,Drama,18,279
10766,Romance,10749,279
10767,Documentary,99,31
10768,Drama,18,77
10769,Western,37,77
10770,History,36,31
10771,Documentary,99,31
10772,Drama,18,19
10773,Action,28,19
10774,Thriller,53,19
10775,Comedy,35,13
10776,Drama,18,13
10777,Comedy,35,19
10778,Action,28,86
10779,Thriller,53,86
10780,Comedy,35,23
10781,Drama,18,23
10782,Comedy,35,210
10783,Horror,27,210
10784,Action,28,36
10785,Adventure,12,36
10786,Science Fiction,878,36
10787,Drama,18,52
10788,Comedy,35,52
10789,Music,10402,52
10790,Comedy,35,18
10791,Comedy,35,10
10792,Drama,18,10
10793,Romance,10749,10
10794,Drama,18,32
10795,Animation,16,3
10796,Family,10751,3
10797,Foreign,10769,3
10798,Drama,18,1
10799,Action,28,1
10800,Thriller,53,1
10801,Adventure,12,13
10802,Family,10751,13
10803,Comedy,35,143
10804,Drama,18,143
10805,Music,10402,143
10806,Romance,10749,143
10807,Comedy,35,9
10808,Drama,18,9
10809,Mystery,9648,9
10810,Thriller,53,9
10811,Comedy,35,88
10812,Science Fiction,878,88
10813,Romance,10749,88
10814,Horror,27,88
10815,Drama,18,96
10816,Action,28,96
10817,Romance,10749,96
10818,Drama,18,41
10819,Horror,27,333
10820,Science Fiction,878,333
10821,Horror,27,406
10822,Thriller,53,406
10823,Thriller,53,40
10824,Horror,27,124
10825,Comedy,35,124
10826,Drama,18,16
10827,Action,28,16
10828,Crime,80,16
10829,Foreign,10769,16
10830,Thriller,53,18
10831,Drama,18,18
10832,Crime,80,18
10833,Thriller,53,381
10834,Horror,27,381
10835,Horror,27,92
10836,Crime,80,84
10837,Drama,18,84
10838,Horror,27,84
10839,Thriller,53,84
10840,Documentary,99,0
10841,Comedy,35,165
10842,Thriller,53,2
10843,Action,28,2
10844,Adventure,12,2
10845,Drama,18,2
10846,Crime,80,102
10847,Drama,18,102
10848,Mystery,9648,102
10849,Horror,27,27
