(15357,)
(7413,)
(84424,)
(84425,)
(86352,)
(87857,)
(87858,)
(11858,)
(14604,)
(93408,)
(6687,)
(20154,)
(54850,)
(462,)
(19231,)
(69485,)
(23419,)
(13796,)
(52660,)
(11347,)
(11348,)
(11349,)
(80461,)
(13480,)
(7470,)
(5237,)
(21904,)
(21905,)
(21906,)
(766,)
(26265,)
(61409,)
(20938,)
(23243,)
(65514,)
(65515,)
(7381,)
(12205,)
(49512,)
(33817,)
(47479,)
(43910,)
(631,)
(11346,)
(549,)
(22182,)
(24136,)
(24137,)
(24138,)
(27584,)
(40955,)
(40956,)
(19267,)
(20346,)
(33250,)
(33251,)
(33252,)
(33253,)
(33254,)
(33255,)
(8858,)
(15433,)
(41042,)
(59725,)
(60658,)
(11429,)
(23271,)
(23272,)
(23202,)
(11353,)
(6817,)
(6818,)
(2721,)
(23420,)
(8758,)
(8759,)
(7923,)
(194,)
(195,)
(54050,)
(54051,)
(54052,)
(2116,)
(2875,)
(60682,)
(4081,)
(25120,)
(11307,)
(57408,)
(57409,)
(41096,)
(39121,)
(1232,)
(76911,)
(517,)
(518,)
(11232,)
(11233,)
(11234,)
(5257,)
(12180,)
(367,)
(23660,)
(10898,)
(11583,)
(23889,)
(79031,)
(1519,)
(10164,)
(27467,)
(23449,)
(81128,)
(16880,)
(20244,)
(12196,)
(12197,)
(12198,)
(5120,)
(77882,)
(77883,)
(18208,)
(20448,)
(6666,)
(21897,)
(22610,)
(22611,)
(2019,)
(8833,)
(523,)
(524,)
(7693,)
(120,)
(592,)
(4411,)
(23446,)
(25020,)
(30994,)
(23873,)
(4028,)
(4029,)
(4030,)
(57946,)
(3491,)
(10619,)
(59972,)
(88686,)
(179,)
(12235,)
(12193,)
(2428,)
(6747,)
(182,)
(2604,)
(250,)
(260,)
(266,)
(268,)
(269,)
(271,)
(4247,)
(19150,)
(31087,)
(22814,)
(10342,)
(11726,)
(11847,)
(11849,)
(20193,)
(34557,)
(34558,)
(44485,)
(270,)
(315,)
(12346,)
(90511,)
(26663,)
(72823,)
(72824,)
(18919,)
(18920,)
(18921,)
(18922,)
(4286,)
(65394,)
(8504,)
(20667,)
(20668,)
(1656,)
(8531,)
(24785,)
(1514,)
(1515,)
(33681,)
(22107,)
(27349,)
(86,)
(63924,)
(63925,)
(5798,)
(12029,)
(21962,)
(10138,)
(27351,)
(23614,)
(560,)
(469,)
(472,)
(473,)
(474,)
(73620,)
(12425,)
(294,)
(12325,)
(12326,)
(12327,)
(12328,)
(12329,)
(12330,)
(3110,)
(20416,)
(20644,)
(38591,)
(38592,)
(11200,)
(12518,)
(74952,)
(501,)
(503,)
(504,)
(31893,)
(234,)
(865,)
(4508,)
(16618,)
(23192,)
(25488,)
(4176,)
(10441,)
(11773,)
(17873,)
(10956,)
(1538,)
(45852,)
(11458,)
(55072,)
(646,)
(73950,)
(42421,)
(75807,)
(79963,)
(10717,)
(3800,)
(41051,)
(2299,)
(11392,)
(11553,)
(29031,)
(10887,)
(10888,)
(12516,)
(20192,)
(2326,)
(3205,)
(20455,)
(741,)
(7999,)
(12259,)
(12261,)
(12262,)
(7201,)
(7333,)
(73872,)
(88,)
(11272,)
(23227,)
(53460,)
(53461,)
(5263,)
(5264,)
(1819,)
(6189,)
(223,)
(224,)
(55465,)
(55776,)
(55777,)
(55778,)
(2760,)
(7495,)
(692,)
(778,)
(14323,)
(25432,)
(52740,)
(12391,)
(50630,)
(71510,)
(25626,)
(12426,)
(1843,)
(66327,)
(66328,)
(20289,)
(20290,)
(20291,)
(7217,)
(19578,)
(38145,)
(4354,)
(11449,)
(11356,)
(1153,)
(49243,)
(49244,)
(46625,)
(20343,)
(10214,)
(373,)
(636,)
(19802,)
(45724,)
(8350,)
(13855,)
(19959,)
(1997,)
(11433,)
(82,)
(13837,)
(22370,)
(2278,)
(3391,)
(10050,)
(12012,)
(28812,)
(554,)
(15855,)
(1783,)
(5726,)
(2335,)
(35846,)
(82552,)
(999,)
(2359,)
(67780,)
(67781,)
(1553,)
(19731,)
(157,)
(2996,)
(4524,)
(7330,)
(8659,)
(11239,)
(14937,)
(53667,)
(53668,)
(53669,)
(53670,)
(53671,)
(3989,)
(48184,)
(2675,)
(6973,)
(13351,)
(27350,)
(32853,)
(690,)
(209,)
(210,)
(11344,)
(1533,)
(1677,)
(3366,)
(11248,)
(20418,)
(20420,)
(26240,)
(26241,)
(26242,)
(1779,)
(2680,)
(2752,)
(3214,)
(89303,)
(89304,)
(406,)
(7177,)
(10167,)
(10168,)
(10169,)
(8930,)
(11702,)
(23201,)
(13630,)
(4665,)
(7458,)
(924,)
(59423,)
(19528,)
(25433,)
(25434,)
(49971,)
(49972,)
(49,)
(7887,)
(46381,)
(53042,)
(56787,)
(1197,)
(10154,)
(13219,)
(11142,)
(798,)
(7485,)
(11766,)
(418,)
(25463,)
(25467,)
(5236,)
(7766,)
(7767,)
(7899,)
(2343,)
(4450,)
(2274,)
(7680,)
(12695,)
(19929,)
(19930,)
(19931,)
(19932,)
(19933,)
(6304,)
(6305,)
(90896,)
(90897,)
(10889,)
(2903,)
(37432,)
(8827,)
(4621,)
(23948,)
(14319,)
(6999,)
(9155,)
(10919,)
(10920,)
(10921,)
(3567,)
(312,)
(23677,)
(62546,)
(84592,)
(84593,)
(10211,)
(4364,)
(5186,)
(14089,)
(3447,)
(14638,)
(15495,)
(58445,)
(9351,)
(7961,)
(52053,)
(11342,)
(20088,)
(313,)
(7272,)
(7273,)
(2427,)
(2430,)
(2432,)
(10187,)
(47043,)
(47044,)
(47046,)
(1915,)
(1916,)
(1918,)
(4764,)
(7745,)
(46,)
(5340,)
(11560,)
(4763,)
(3978,)
(381,)
(382,)
(361,)
(7504,)
(245,)
(20369,)
(20370,)
(5313,)
(5314,)
(4051,)
(541,)
(542,)
(543,)
(7110,)
(11929,)
(41999,)
(793,)
(1168,)
(1157,)
(19233,)
(2319,)
(5746,)
(8246,)
(15689,)
(64570,)
(47231,)
(19631,)
(34446,)
(10462,)
(12686,)
(50083,)
(78218,)
(28361,)
(1101,)
(1102,)
(53047,)
(53048,)
(218,)
(11386,)
(3316,)
(3317,)
(3318,)
(12018,)
(52107,)
(13238,)
(23031,)
(34846,)
(200,)
(6419,)
(21925,)
(21926,)
(21927,)
(7694,)
(938,)
(3259,)
(1687,)
(1688,)
(1689,)
(1690,)
(1691,)
(1692,)
(286,)
(3522,)
(3942,)
(35063,)
(12296,)
(654,)
(638,)
(3139,)
(14121,)
(14122,)
(15547,)
(17823,)
(17824,)
(219,)
(1182,)
(11649,)
(11650,)
(11651,)
(11652,)
(8841,)
(8842,)
(10986,)
(8685,)
(15877,)
(15878,)
(18715,)
(6279,)
(12009,)
(12011,)
(19124,)
(571,)
(1323,)
(1324,)
(29364,)
(5623,)
(6458,)
(47380,)
(4811,)
(10954,)
(11446,)
(851,)
(7446,)
(8555,)
(74636,)
(10757,)
(85721,)
(10324,)
(10698,)
(11770,)
(358,)
(24356,)
(11104,)
(26136,)
(26137,)
(26138,)
(26140,)
(100,)
(11241,)
(526,)
(1316,)
(1317,)
(3434,)
(88533,)
(398,)
(399,)
(394,)
(395,)
(1044,)
(11982,)
(31892,)
(1297,)
(1298,)
(125,)
(486,)
(6476,)
(6477,)
(11240,)
(44171,)
(72682,)
(72683,)
(9210,)
(40268,)
(11729,)
(98,)
(77,)
(38616,)
(38617,)
(38618,)
(38619,)
(3519,)
(16517,)
(3055,)
(6379,)
(54,)
(336,)
(337,)
(22820,)
(7488,)
(7489,)
(5084,)
(11230,)
(2015,)
(5826,)
(1251,)
(59348,)
(1848,)
(17931,)
(17932,)
(11594,)
(21673,)
(4120,)
(4121,)
(11447,)
(12177,)
(12179,)
(7266,)
(27197,)
(12840,)
(50510,)
(50511,)
(91542,)
(91543,)
(633,)
(4520,)
(93101,)
(93102,)
(93103,)
(93104,)
(14120,)
(4718,)
(7100,)
(1315,)
(156,)
(55405,)
(26198,)
(7508,)
(42498,)
(44615,)
(47462,)
(12141,)
(46059,)
(46060,)
(2264,)
(76846,)
