(0, 289, 19995, 7.2)
(1, 306, 19995, 7.2)
(2, 444, 19995, 7.2)
(3, 574, 19995, 7.2)
(4, 2, 285, 6.9)
(5, 130, 285, 6.9)
(6, 19936, 285, 6.9)
(7, 5, 206647, 6.3)
(8, 10761, 206647, 6.3)
(9, 69434, 206647, 6.3)
(10, 923, 49026, 7.6)
(11, 6194, 49026, 7.6)
(12, 9993, 49026, 7.6)
(13, 9996, 49026, 7.6)
(14, 2, 49529, 6.1)
(15, 5, 559, 5.9)
(16, 326, 559, 5.9)
(17, 19551, 559, 5.9)
(18, 2, 38757, 7.4)
(19, 6125, 38757, 7.4)
(20, 420, 99861, 7.3)
(21, 15357, 99861, 7.3)
(22, 76043, 99861, 7.3)
(23, 6194, 767, 7.4)
(24, 7364, 767, 7.4)
(25, 429, 209112, 5.7)
(26, 507, 209112, 5.7)
(27, 6194, 209112, 5.7)
(28, 9993, 209112, 5.7)
(29, 9995, 209112, 5.7)
(30, 41624, 209112, 5.7)
(31, 429, 1452, 5.4)
(32, 923, 1452, 5.4)
(33, 6194, 1452, 5.4)
(34, 9168, 1452, 5.4)
(35, 7576, 10764, 6.1)
(36, 2, 58, 7.0)
(37, 130, 58, 7.0)
(38, 19936, 58, 7.0)
(39, 2, 57201, 5.9)
(40, 130, 57201, 5.9)
(41, 2691, 57201, 5.9)
(42, 37380, 57201, 5.9)
(43, 37381, 57201, 5.9)
(44, 37382, 57201, 5.9)
(45, 923, 49521, 6.5)
(46, 6194, 49521, 6.5)
(47, 9993, 49521, 6.5)
(48, 9996, 49521, 6.5)
(49, 78685, 49521, 6.5)
(50, 5888, 2454, 6.3)
(51, 10221, 2454, 6.3)
(52, 11345, 2454, 6.3)
(53, 11440, 2454, 6.3)
(54, 11441, 2454, 6.3)
(55, 11442, 2454, 6.3)
(56, 76043, 2454, 6.3)
(57, 4, 24428, 7.4)
(58, 420, 24428, 7.4)
(59, 2, 1865, 6.4)
(60, 130, 1865, 6.4)
(61, 20478, 1865, 6.4)
(62, 56, 41154, 6.2)
(63, 5627, 41154, 6.2)
(64, 6736, 41154, 6.2)
(65, 9169, 41154, 6.2)
(66, 11084, 41154, 6.2)
(67, 11, 122917, 7.1)
(68, 12, 122917, 7.1)
(69, 174, 122917, 7.1)
(70, 7413, 122917, 7.1)
(71, 8411, 122917, 7.1)
(72, 5, 1930, 6.5)
(73, 326, 1930, 6.5)
(74, 7505, 1930, 6.5)
(75, 23, 20662, 6.2)
(76, 33, 20662, 6.2)
(77, 1645, 20662, 6.2)
(78, 7295, 20662, 6.2)
(79, 11, 57158, 7.6)
(80, 12, 57158, 7.6)
(81, 174, 57158, 7.6)
(82, 8411, 57158, 7.6)
(83, 12, 2268, 5.8)
(84, 289, 2268, 5.8)
(85, 1473, 2268, 5.8)
(86, 1938, 2268, 5.8)
(87, 11, 254, 6.6)
(88, 33, 254, 6.6)
(89, 68, 254, 6.6)
(90, 69, 254, 6.6)
(91, 4, 597, 7.5)
(92, 306, 597, 7.5)
(93, 574, 597, 7.5)
(94, 264, 271110, 7.1)
(95, 420, 271110, 7.1)
(96, 3036, 271110, 7.1)
(97, 84424, 271110, 7.1)
(98, 84425, 271110, 7.1)
(99, 33, 44833, 5.5)
(100, 2598, 44833, 5.5)
(101, 13778, 44833, 5.5)
(102, 20153, 44833, 5.5)
(103, 13, 135397, 6.5)
